id|iata|icao|name|city|subd|countryCode|elevation|lat|lon
A00173|RFN|BIRG|Raufarhofn Airport|Raufarhofn|Northeast|ISL|39.0|66.4064025879|-15.918299675
A00174|RKV|BIRK|Reykjavik Airport|Reykjavik|Capital Region|ISL|48.0|64.1299972534|-21.9405994415
A00175|MVA|BIRL|Reykjahlid Airport|Myvatn|Northeast|ISL|1030.0|65.6557998657|-16.9181003571
A00176|SIJ|BISI|Siglufjordur Airport|Siglufjordur|Northeast|ISL|10.0|66.1333007813|-18.9167003632
A00177|SYK|BIST|Stykkisholmur Airport|Stykkisholmur|West|ISL|42.0|65.0580978394|-22.7942008972
A00178|TEY|BITE|Tingeyri Airport|Tingeyri|Westfjords|ISL|65.0|65.870300293|-23.5599994659
A00179|THO|BITN|Thorshofn Airport|Thorshofn|Northeast|ISL|65.0|66.21849823|-15.3355998993
A00180|VEY|BIVM|Vestmannaeyjar Airport|Vestmannaeyjar|South|ISL|326.0|63.4243011475|-20.2789001465
A00181|VPN|BIVO|Vopnafjordur Airport|Vopnafjordur|East|ISL|16.0|65.7205963135|-14.8506002426
A00182|YZZ|CAD4|Trail Airport|Trail|British Columbia|CAN|1427.0|49.0555992126|-117.60900116
A00183|YAA|CAJ4|Anahim Lake Airport|Anahim Lake|British Columbia|CAN|3635.0|52.4524993896|-125.3030014038
A00184|DGF|CAL3|Douglas Lake Airport|Douglas Lake|British Columbia|CAN|2770.0|50.1654600485|-120.171273351
A00185|JHL|CAL4|Fort MacKay/Albian Aerodrome|Albian Village|Alberta|CAN|1048.0|57.2238998413|-111.418998718
A00186|DUQ|CAM3|Duncan Airport|Duncan|British Columbia|CAN|300.0|48.7545336204|-123.709702492
A00187|ZEL|CBBC|Bella Bella (Campbell Island) Airport|Bella Bella|British Columbia|CAN|141.0|52.1850013733|-128.1569976807
A00188|YWM|CCA6|Williams Harbour Airport|Williams Harbour|Newfoundland and Labrador|CAN|70.0|52.5668983459|-55.7846984863
